
========== REPORT ==========
[OK] Totals | Stores=35 | Categories=122 | Unique=25328 | New=0 | Restored=1 | Removed=6 | PriceChanges=19 | Runtime=  3065s

FAILED CATEGORIES (3)
  ✗ Elbow Liquor | Whisky
  ✗ Elbow Liquor | Rum
  ✗ Elbow Liquor | Gin

Per-category summary:
Store | Category                               Pages  Unique   New   Res   Rem   Upd      Sec
---------------------------------------------  -----  ------  ----  ----  ----  ----  -------
Sierra Springs | Scotch Whisky / Single Malt       4     279     0     0     0     0      14s
Sierra Springs | Canadian Whiskey                  1      76     0     0     0     0     6.6s
Sierra Springs | Irish Whiskey                     1      31     0     0     0     0     6.4s
Sierra Springs | American Whiskey                  2     161     0     0     0     0     9.6s
Sierra Springs | World Whisky                      1      47     0     0     0     0     6.4s
Sierra Springs | Spirits                           5     379     0     0     0     0      19s
Sierra Springs | Other                             1      10     0     0     0     0     6.4s
Sierra Springs | Gin                               1      52     0     0     0     0     6.4s
Craft Cellars | Whisky                            27     910     0     0     0     0      83s
Craft Cellars | Rum                               27     107     0     0     0     0     0.2s
Craft Cellars | Gin                               27      92     0     0     0     0     0.2s
Co-op World of Whisky | Canadian Whisky            3      59     0     0     0     0      17s
Co-op World of Whisky | Bourbon Whiskey            3      64     0     0     0     0      13s
Co-op World of Whisky | Scottish Single Malts     11     257     0     0     0     0      38s
Co-op World of Whisky | American Whiskey           2      35     0     0     0     0     9.4s
Strath Liquor | Whisky                            13     417     0     0     0     0      80s
Co-op World of Whisky | Rum                        2      34     0     0     0     0     9.3s
Co-op World of Whisky | Gin                        1      15     0     0     0     0     6.6s
Strath Liquor | Spirits - Rum                     11      39     0     0     0     0      41s
Strath Liquor | Spirits - Gin                      3      39     0     0     0     0      15s
BSW | Scotch Whisky                               24    1160     0     0     0     5      59s
BCL | Whisky / Whiskey                            26     604     0     0     0     1     130s
BSW | Rum                                         12     574     0     0     0     6      30s
BCL | Rum                                          4      95     0     0     0     1      11s
BCL | Gin                                          4      78     0     0     0     0      11s
Gull Liquor | Whisky                              30     356     0     0     1     0     332s
Willow Park | Scotch                               7     260     0     0     0     0      36s
BSW | Whisky                                      24    1159     0     0     0     6      61s
BSW | Gin                                          9     437     0     0     0     0      23s
Vessel Liquor | Whisky                             5     204     0     0     0     0      35s
Gull Liquor | Rum                                 11     128     0     0     0     0     126s
Willow Park | Rum                                  3      86     0     0     0     0     163s
Kensington Wine Market | Scotch                  109     975     0     0     0     0     547s
Willow Park | Gin                                  3      85     0     0     0     0      25s
Malts & Grains | All Spirits                       3     536     0     0     0     0     6.5s
Malts & Grains | Gin                               3       0     0     0     0     0     0.0s
